Date,open,high,low,close,volume,Network diameter,The average shortest path length of the network,The average clustering coefficient of the network,The average degree centrality of the network,Number of network nodes,number_of_nodes_for_largest_subgraph,The average degree of the network,bins,pagerank,ci_max,ci_global,retweeted,su,original
2015/5/14,-0.0673,0.5024,-1.0676,0.06,449100,19,3.860004607,0.000385545,0.000222671,12285,9112,1.923158323,"(0.0, 1.4]",0.361920158,1821975,2061695,12619,40091,27472
2015/5/15,-0.2624,-0.2624,-2.2785,-1.59,439700,17,6.655153981,0.001833621,0.000826709,5899,2552,1.845736566,"(-4.2, -1.4]",0.141933063,79520,215269,6547,32151,25604
2015/5/18,-0.7147,0.3745,-1.1183,-0.58,380100,0,0,0,1,3850,1,1.748051948,"(-1.4, 0.0]",1,15456,57457,4159,28584,24425
2015/5/19,0.0534,3.1496,0.0534,3.13,436700,22,7.960709376,0.000776166,0.001616747,4532,1299,1.783318623,"(1.4, 4.2]",0.042520768,35000,78977,5079,33445,28366
2015/5/20,0.3945,2.3313,0.3334,0.65,514100,18,8.021812609,0.001023447,0.0014992,4639,1408,1.764173313,"(0.0, 1.4]",0.035636993,31464,87096,5121,31966,26845
2015/5/21,0.2282,1.8935,-0.1806,1.87,465000,16,6.140934081,0.002498001,0.001038773,5592,2067,1.833690987,"(1.4, 4.2]",0.073299958,251419,367296,6157,33948,27791
2015/5/22,1.2267,2.8448,0.7411,2.83,655600,18,6.19715881,0.002177877,0.000932322,5310,2332,1.82259887,"(1.4, 4.2]",0.061744149,310860,566831,5825,31662,25837
2015/5/25,0.0532,3.3725,-0.0166,3.35,682500,0,0,0,1,4969,1,1.783859932,"(1.4, 4.2]",1,51324,176304,5263,32516,27253
2015/5/26,0.8528,2.0335,-0.7213,2.02,704900,2,1.333333333,0,0.666666667,6460,3,1.839318885,"(1.4, 4.2]",0.486485824,130320,385525,6900,36120,29220
2015/5/27,0.4469,0.9623,-1.0964,0.63,681200,19,6.809664582,0.002330802,0.00092407,6039,2341,1.811558205,"(0.0, 1.4]",0.020574052,61748,273485,6574,38444,31870
2015/5/28,0.041,0.9063,-6.6267,-6.5,783000,23,6.976685405,0.002814682,0.00033225,12697,6420,1.846577932,"(-10.0, -4.2]",0.038419878,619095,2351977,13395,63364,49969
2015/5/29,-0.3636,1.6866,-4.0842,-0.18,611300,18,6.068289346,0.004998282,0.000439713,11385,4889,1.831884058,"(-1.4, 0.0]",0.048664255,1121728,2416867,12040,53511,41471
2015/6/1,0.463,4.7218,0.0756,4.71,593400,19,7.82735119,0.00222867,0.001094664,6149,1941,1.805822085,"(4.2, 10.0]",0.02790209,36200,141768,6918,31876,24958
2015/6/2,0.3307,1.7155,-0.6458,1.69,623700,17,6.641466819,0.001159465,0.000781811,7149,2749,1.832144356,"(1.4, 4.2]",0.028683053,193640,644962,7824,32938,25114
2015/6/3,0.2821,0.6423,-1.7938,-0.01,611500,19,6.996866226,0.002622748,0.000922108,7013,2337,1.832311422,"(-1.4, 0.0]",0.017330627,82600,250981,7451,30036,22585
2015/6/4,0.0604,0.7737,-5.3477,0.76,675000,18,6.704124795,0.001862788,0.000573015,9350,3722,1.871229947,"(0.0, 1.4]",0.070008933,577840,913524,9959,37973,28014
2015/6/5,1.3945,2.1128,-0.9912,1.54,772200,19,6.759451371,0.002820233,0.000725651,7806,2947,1.816551371,"(1.4, 4.2]",0.038017152,305408,678622,8097,34057,25960
2015/6/8,0.4499,2.4657,-0.5099,2.17,855000,17,6.842512591,0.000684159,0.000954751,5569,2223,1.806069312,"(1.4, 4.2]",0.039244213,96642,384677,6061,32134,26073
2015/6/9,0.2747,0.3035,-1.7327,-0.36,729900,15,6.636079823,0.004685666,0.000978795,5745,2232,1.819669278,"(-1.4, 0.0]",0.03581967,91182,301053,6132,30509,24377
2015/6/10,-1.2582,0.9901,-2.1912,-0.15,597000,2,1.777777778,0,0.222222222,6358,9,1.817867254,"(-1.4, 0.0]",0.468470286,143948,349540,6744,32876,26132
2015/6/11,-0.09,0.3216,-1.0825,0.3,564000,20,7.620234511,0.002092886,0.000979825,5751,2154,1.763867154,"(0.0, 1.4]",0.027034217,89910,187086,5856,30015,24159
2015/6/12,0.4247,1.1051,-0.3552,0.87,625600,19,7.52233949,0.004329963,0.00076911,7534,2730,1.818157685,"(0.0, 1.4]",0.057642363,130463,267393,7630,30800,23170
2015/6/15,0.1562,0.2022,-2.2764,-2,637800,24,8.178762438,0.001804533,0.000816437,6940,2568,1.802017291,"(-4.2, -1.4]",0.039395414,86856,181105,7312,31100,23788
2015/6/16,-1.157,-0.6579,-4.3629,-3.47,550800,0,0,0,1,9419,1,1.88639983,"(-4.2, -1.4]",1,231045,737016,12025,41204,29179
2015/6/17,0.0638,1.9688,-2.4597,1.65,537100,19,7.700906491,0.002305223,0.000767093,7360,2763,1.76875,"(1.4, 4.2]",0.02021882,96832,213539,7980,34998,27018
2015/6/18,-0.5108,-0.0228,-3.7647,-3.67,507400,18,7.072659487,0.001842195,0.000683963,7978,3135,1.82150915,"(-4.2, -1.4]",0.033979177,249717,529307,8744,34879,26135
2015/6/19,-1.9941,-0.8625,-6.4542,-6.42,452700,1,1,0,1,17172,2,1.911483811,"(-10.0, -4.2]",0.5,3493152,9151096,18760,66543,47783
2015/6/23,-0.1507,2.2235,-4.7694,2.19,473500,18,6.647209378,0.003687553,0.000602496,9004,3568,1.858063083,"(1.4, 4.2]",0.058168293,246325,638261,10724,40173,29449
2015/6/24,0.6137,2.5189,-0.5324,2.48,543000,18,6.68602127,0.003631412,0.000890491,7442,2417,1.814028487,"(1.4, 4.2]",0.039897554,121743,319069,8339,32203,23864
2015/6/25,0.4608,0.6514,-4.405,-3.46,572800,21,7.121954393,0.000723287,0.000524763,8164,3966,1.829985301,"(-4.2, -1.4]",0.162536808,351456,474574,8394,32315,23921
2015/6/26,-2.8236,-1.5655,-8.5748,-7.4,565200,20,6.477425302,0.002581469,0.000183551,21408,12128,1.968049327,"(-10.0, -4.2]",0.025120625,2391840,9252376,23609,79651,56042
2015/6/29,2.311,2.4948,-7.5801,-3.34,673800,21,5.895581976,0.003331174,0.000156227,21813,14937,2.080777518,"(-4.2, -1.4]",0.027669472,9457056,30157356,25491,96464,70973
2015/6/30,-1.1418,5.5992,-5.0616,5.53,709200,0,0,0,1,17280,1,1.996064815,"(4.2, 10.0]",1,2248592,10465642,19460,70839,51379
2015/7/1,-1.4746,0.9312,-5.4675,-5.23,598800,16,5.81606859,0.00500837,0.000157151,21301,14728,2.077930614,"(-10.0, -4.2]",0.017677887,5510715,23512664,25236,71766,46530
2015/7/2,0.1215,0.6583,-6.3756,-3.48,586000,16,5.172093543,0.003281051,0.000128284,26198,19178,2.234903428,"(-4.2, -1.4]",0.018802496,14838332,68549349,34181,101269,67088
2015/7/3,-3.0427,0.367,-7.2381,-5.77,548200,19,5.687937377,0.002637157,0.000122595,27057,19751,2.179177292,"(-10.0, -4.2]",0.02552145,9970470,43777484,33653,97532,63879
2015/7/6,7.8195,7.8195,-0.9189,2.41,831100,19,6.078683506,0.002780756,0.00013588,25242,18092,2.198795658,"(1.4, 4.2]",0.026234827,7966102,30766358,31795,91306,59511
2015/7/7,-3.2081,-0.6712,-5.0455,-1.29,698800,16,5.754399065,0.003039066,0.000114549,27739,20797,2.162010166,"(-1.4, 0.0]",0.018521296,16460855,57273369,34332,94508,60176
2015/7/8,-6.9685,-3.4309,-8.1994,-5.9,680400,17,5.52280271,0.004303526,0.000101283,32552,24170,2.214364709,"(-10.0, -4.2]",0.022168453,14707576,74885182,42824,121001,78177
2015/7/9,-2.131,6.8798,-3.8108,5.76,656900,17,5.906746934,0.002828801,0.000123348,27336,18911,2.105721393,"(4.2, 10.0]",0.01805871,9333180,37413866,35581,97893,62312
