Date,open,high,low,close,volume,sub_density,diameter,average_shortest_path_length,average_clustering,average_pageRank_score,average_degree_centrality,group,number_of_nodes,number_of_nodes_for_largest_subgraph,number_of_edges_for_largest_subgraph,average_degree,average_degree_sub,bins,pr,pagerank,ci,ci_sum
2015/4/14,0.0987,1.1314,-0.739,0.34,610700,1,1,1,0,0.5,1,1,8400,2,1,1.905,1,"(0.0, 1.4]",0.5,0.5,1538238,2443171
2015/4/15,0.002,0.9655,-1.6094,-1.24,613000,1,2,1.5,0,0.25,1,2,5213,4,6,1.804718972,3,"(-1.4, 0.0]",0.324560936,0.225146355,39900,159268
2015/4/16,-0.6916,2.7213,-1.2957,2.71,551200,0.001008397,20,6.743320096,0.001964909,0.000471698,0.001008397,1,4848,2120,2265,1.78960396,2.136792453,"(1.4, 4.2]",0.051194535,0.051194535,149328,311592
2015/4/17,1.4279,2.9179,1.051,2.2,701700,0.000841413,20,7.026582127,0.002594997,0.000381534,0.000841413,1,5881,2621,2889,1.876211529,2.204502098,"(1.4, 4.2]",0.038415968,0.038415968,282934,589942
2015/4/20,0.3279,1.6025,-2.2535,-1.64,857100,0.000619686,19,6.874365009,0.003895716,0.00028547,0.000619686,2,7039,3503,3801,1.871004404,2.17013988,"(-4.2, -1.4]",0.020738231,0.020738231,104544,479124
2015/4/21,-0.116,1.833,-0.676,1.82,634500,1,1,1,0,0.5,1,1,6109,2,1,1.865771812,1,"(1.4, 4.2]",0.5,0.5,145748,453638
2015/4/22,0.2556,2.482,0.1008,2.44,680300,0.179487179,2,1.846153846,0,0.076923077,0.179487179,1,7028,13,14,1.896983495,2.153846154,"(1.4, 4.2]",0.465374836,0.465374836,274008,742829
2015/4/23,0.3635,1.0439,-0.9014,0.36,667300,0,0,0,0,1,1,1,7744,1,1,1.946022727,2,"(0.0, 1.4]",1,1,319830,1085784
2015/4/24,-1.3265,0.0423,-2.1835,-0.47,628600,0.000725782,18,6.208362114,0.003645557,0.000330907,0.000725782,2,6387,3022,3313,1.891654924,2.19258769,"(-1.4, 0.0]",0.038067588,0.038067588,365850,851925
2015/4/27,1.098,3.0965,1.098,3.04,671100,0.000715988,16,6.123044444,0.006006031,0.000329164,0.000715988,1,5583,3038,3303,1.879276375,2.17445688,"(1.4, 4.2]",0.028061028,0.028061028,262152,747629
2015/4/28,0.0053,0.9938,-2.0871,-1.13,767700,0.000896391,18,6.567398124,0.003886767,0.00040833,0.000896391,2,5491,2449,2687,1.844108541,2.194365047,"(-1.4, 0.0]",0.026057367,0.026057367,175305,389742
2015/4/29,-0.6723,0.5301,-1.7331,0.01,519800,0.4,2,1.6,0,0.2,0.4,1,6550,5,4,1.872977099,1.6,"(0.0, 1.4]",0.475676689,0.475676689,113600,352211
2015/4/30,0.1428,0.6863,-0.7945,-0.78,526700,0.166666667,2,1.846153846,0,0.076923077,0.166666667,2,8569,13,13,1.902905823,2,"(-1.4, 0.0]",0.482761417,0.482761417,1580558,1806422
2015/5/4,-0.007,1.0337,-1.2209,0.87,494200,0.000301848,15,3.973933126,0.000523598,0.000148434,0.000301848,1,8939,6737,6849,1.912741917,2.033249221,"(0.0, 1.4]",0.310195996,0.310195996,4295592,4482220
2015/5/5,-0.0137,0.1875,-4.4243,-4.06,572900,0.000633352,16,5.795846394,0.004427788,0.000286944,0.000633352,2,6887,3485,3845,1.930884275,2.206599713,"(-4.2, -1.4]",0.033064416,0.033064416,408304,1491362
2015/5/6,0.3009,1.8063,-2.59,-1.62,481700,0.000505754,19,6.289804088,0.001178725,0.000237079,0.000505754,2,7602,4218,4498,1.872401999,2.132764343,"(-4.2, -1.4]",0.101856012,0.101856012,474122,1043565
2015/5/7,-0.7417,-0.3665,-2.8671,-2.77,394600,0.2,2,1.818181818,0,0.090909091,0.2,2,8364,11,11,1.853897657,2,"(-4.2, -1.4]",0.487181651,0.487181651,290640,731800
2015/5/8,0.9914,2.3016,-0.3203,2.28,397400,0,0,0,0,1,1,1,7518,1,1,1.847299814,2,"(1.4, 4.2]",1,1,250380,748236
2015/5/11,0.6028,3.0662,-0.4303,3.04,488800,0.000449573,17,4.764006365,0.000692311,0.000219394,0.000449573,1,7630,4558,4669,1.86474443,2.048705573,"(1.4, 4.2]",0.303606876,0.303606876,505176,607507
2015/5/12,0.2027,1.5859,-0.3602,1.56,521900,3.53E-05,15,2.217716769,0.000215477,1.76E-05,3.53E-05,1,59495,56964,57203,1.988335154,2.008391265,"(1.4, 4.2]",0.427233894,0.427233894,94227840,94572700
