Date,open,high,low,close,volume,Beijing_Tianjin_Hebei,Yangtze_River_Delta,Pearl_River_Delta,Middle_Reaches_of_Yangtze_River,Chengdu_Chongqing
2015/9/1,-1.502,-0.8002,-4.7489,-1.23,432400,8647,11062,4628,2762,1446
2015/9/2,-4.3878,0.8798,-4.6591,-0.2,438200,7920,7371,4232,3085,1271
2015/9/7,-0.3413,1.8167,-2.9702,-2.52,296500,7459,7895,3814,2300,1153
2015/9/8,-0.8433,3.0609,-2.2498,2.92,255400,7098,8382,3957,2199,1157
2015/9/9,0.3817,2.7217,-0.15,2.29,375300,6918,8228,3954,2651,1138
2015/9/10,-1.6199,0.0059,-1.9791,-1.39,273300,6794,7708,3726,2539,1099
2015/9/11,-0.2631,0.8089,-1.0771,0.07,224600,6344,7948,3553,2311,842
2015/9/14,0.6541,0.9139,-4.7185,-2.67,346600,8300,8377,4308,2510,1018
2015/9/15,-2.2792,-1.0625,-4.2018,-3.52,249200,9030,10165,5109,2949,1329
2015/9/16,-0.2375,5.9152,-0.72,4.89,277500,9239,8738,4751,2780,1245
2015/9/17,-0.6434,1.6635,-2.1238,-2.1,317600,7879,8422,4116,2832,1007
2015/9/18,0.4607,1.1661,-0.5096,0.38,209200,6813,7311,3164,2317,894
2015/9/21,-0.8336,2.0002,-1.1963,1.89,239900,7199,8167,3533,2305,948
2015/9/22,0.1514,1.8037,-0.1286,0.92,274800,6301,7243,3463,2224,900
2015/9/23,-1.5035,-0.6774,-2.5388,-2.19,236300,6841,7431,3847,1977,1077
2015/9/24,0.3403,1.1322,-0.1989,0.86,212900,6669,6219,3390,2041,919
2015/9/25,-0.3766,0.231,-2.5358,-1.6,236300,6517,5828,3176,2032,886
2015/9/28,-0.2193,0.3467,-1.6181,0.27,156700,6251,6465,3000,1638,900
2015/9/29,-1.4686,-1.0468,-2.5671,-2.02,163200,6229,6707,3198,1840,955
2015/9/30,0.484,1.1574,0.0528,0.48,146600,5545,5185,2419,1384,680
2015/10/8,3.3836,3.9145,2.6319,2.97,234300,5285,5857,3137,1559,849
2015/10/9,0.1046,1.5703,-0.1772,1.27,234900,5195,5704,3027,1478,740
2015/10/12,0.3263,4.2587,0.1651,3.28,386300,5928,6800,3865,1784,931
2015/10/13,-0.7758,0.3335,-1.0467,0.17,297200,5720,6087,3344,1812,866
2015/10/14,-0.4011,0.4277,-1.1228,-0.93,295100,6158,6643,3548,1778,811
2015/10/15,-0.2271,2.3251,-0.2467,2.32,316300,6208,6584,3677,1974,877
2015/10/16,0.6059,1.646,-0.0964,1.6,395500,6428,6213,3377,1964,882
2015/10/19,0.303,0.9451,-1.0552,-0.14,378100,6348,6903,3888,2002,827
2015/10/20,-0.2703,1.1461,-0.8515,1.14,319000,5762,6858,3458,2186,828
2015/10/21,0.0943,0.6402,-4.668,-3.06,458500,7423,7775,3997,2852,1094
2015/10/22,-0.8548,1.5991,-1.1348,1.45,323700,7393,7859,3893,2215,1034
2015/10/23,0.2615,1.5817,-0.2529,1.3,347400,6369,7345,3482,1757,1020
2015/10/26,1.0613,1.3211,-0.3058,0.5,365600,7177,7140,3712,2162,1097
2015/10/27,-0.5961,0.3494,-2.8273,0.14,328200,7448,7761,3958,2381,1132
2015/10/28,-0.5045,0.1579,-1.9539,-1.72,293500,5736,7183,3246,2071,963
2015/10/29,0.3727,1.082,-0.3759,0.36,235700,5781,7206,3411,1891,982
2015/10/30,-0.2076,0.8823,-1.2022,-0.14,243600,5466,6936,3292,2049,890
2015/11/2,-1.3299,0.2514,-1.7812,-1.7,231000,7482,8886,4209,2325,1160
2015/11/3,0.1573,0.6373,-0.6887,-0.25,192900,6455,7632,3556,1930,952
2015/11/4,0.2691,4.31,0.2691,4.31,339100,6369,8430,3923,2129,1174
2015/11/5,-0.0123,3.6425,-0.1189,1.83,553300,6599,7690,4300,2259,1171
2015/11/6,-0.238,2.0882,-0.3972,1.91,429200,7520,9632,4734,2471,1294
2015/11/9,-0.0427,2.3322,-0.0427,1.58,503000,4623,6369,3043,1609,814
2015/11/10,-0.8085,0.6211,-1.0691,-0.18,429700,7136,9492,4521,2350,1215
2015/11/11,-0.1506,0.3953,-0.9577,0.27,361000,5834,7955,3909,1947,1031
2015/11/12,0.1799,0.2484,-1.2882,-0.48,361700,7089,9346,4181,2102,1097
2015/11/13,-0.8846,-0.0095,-1.8743,-1.43,345900,7464,9104,4394,2185,1006
2015/11/16,-1.6303,0.7477,-1.7152,0.73,276200,6076,8141,3823,1863,933
2015/11/17,0.6382,1.9772,-0.2464,-0.06,383600,7391,8897,4263,2893,1054
2015/11/18,0.0074,0.3405,-1.2788,-1.01,297600,7363,8635,4336,2360,1162
2015/11/19,0.1487,1.394,-0.208,1.36,247900,6647,7714,3710,1797,1100
2015/11/20,0.1031,0.6488,-0.2529,0.37,310800,5963,7040,3305,1448,710
2015/11/23,0.0101,0.6681,-0.8712,-0.56,316000,6346,8098,3689,1935,973
2015/11/24,-0.2057,0.1709,-1.3077,0.16,248800,7829,9843,4512,2211,1181
2015/11/25,-0.0566,0.8919,-0.2377,0.88,273000,7820,9646,4276,1905,953
2015/11/26,0.3192,0.5605,-0.4952,-0.34,306800,7147,9281,4109,1792,978
2015/11/27,-0.5228,-0.3756,-6.1373,-5.48,354300,10319,9868,5140,2451,1345
2015/11/30,-0.0712,0.9914,-3.1572,0.26,304200,8041,8772,4384,2165,1212
2015/12/1,-0.086,1.1032,-0.8086,0.32,252400,7592,9191,3765,1886,1047
2015/12/2,-0.1745,2.388,-0.8289,2.33,301500,7955,9731,4327,2424,1133
2015/12/3,-0.316,1.5501,-0.5563,1.35,281100,7012,9231,3830,1906,1059
2015/12/4,-0.7441,-0.4423,-2.0757,-1.67,251700,7803,10084,4239,1895,1068
2015/12/7,0.1366,0.5377,-0.521,0.34,208300,7036,11143,3895,1851,1003
2015/12/8,-0.5168,-0.5168,-1.983,-1.89,224400,7434,11118,4041,1809,1034
2015/12/9,-0.2158,0.7387,-0.4378,0.07,195700,7799,11417,5002,1913,1075
2015/12/10,-0.0758,0.8989,-0.7535,-0.49,200400,8731,11459,4415,2227,1031
2015/12/11,-0.4022,0.0015,-1.2899,-0.61,182900,7677,10258,4134,2118,1155
2015/12/14,-0.9047,2.5388,-1.0278,2.51,215400,7591,9336,4825,2139,1169
2015/12/15,-0.0722,0.264,-0.6764,-0.29,200500,6357,8105,4341,1899,1049
2015/12/16,0.3344,0.8072,-0.1157,0.17,193500,6905,11126,4005,1960,1128
2015/12/17,0.496,1.9118,0.496,1.81,283900,7427,12151,4060,2308,1149
2015/12/18,-0.1413,0.9692,-0.3307,-0.03,273700,6325,10779,3593,2089,913
2015/12/21,-0.2901,2.0143,-0.3692,1.77,299800,7521,8868,4496,2185,1098
2015/12/22,0.0966,0.279,-0.7029,0.26,261200,7233,7902,4134,1903,1124
2015/12/23,0.0415,0.8982,-0.5132,-0.43,298200,6915,9776,4257,1917,1106
2015/12/24,-0.1314,0.1136,-1.755,-0.65,227800,7645,9068,4279,2107,1075
2015/12/25,0.0434,0.6303,-0.2975,0.43,192500,6188,6890,3102,1455,840
2015/12/28,0.2141,0.3745,-2.5971,-2.6,270000,6781,7887,4147,1923,997
