Date,close,f,m,f_disgust,m_disgust,fol1,fol2,fol3,bins
2015/10/28,-1.72,9189,22715,1116,3145,11613,16928,3363,"(-4.2, -1.4]"
2015/10/29,0.36,8464,22773,890,2956,10980,16856,3401,"(0.0, 1.4]"
2015/10/30,-0.14,8964,21597,951,2726,10590,16429,3542,"(-1.4, 0.0]"
2015/11/2,-1.7,11255,28716,1056,3080,13549,22233,4189,"(-4.2, -1.4]"
2015/11/3,-0.25,9187,23125,881,2994,11482,17283,3547,"(-1.4, 0.0]"
2015/11/4,4.31,8779,26500,934,3257,12029,19041,4209,"(4.2, 10.0]"
2015/11/5,1.83,9215,27426,1153,3320,13399,19009,4233,"(1.4, 4.2]"
2015/11/6,1.91,11544,32438,1342,4068,17457,21984,4541,"(1.4, 4.2]"
2015/11/9,1.58,6773,20777,667,2352,10877,13577,3096,"(1.4, 4.2]"
2015/11/10,-0.18,10242,30438,1147,3771,15211,20695,4774,"(-1.4, 0.0]"
2015/11/11,0.27,9510,24916,1070,3162,12985,17412,4029,"(0.0, 1.4]"
2015/11/12,-0.48,11456,28380,1131,3184,16150,19584,4102,"(-1.4, 0.0]"
2015/11/13,-1.43,10201,28659,983,3278,14003,20500,4357,"(-4.2, -1.4]"
2015/11/16,0.73,8777,25125,1134,2953,12263,17918,3721,"(0.0, 1.4]"
2015/11/17,-0.06,10152,29640,1385,4472,15001,20075,4716,"(-1.4, 0.0]"
2015/11/18,-1.01,9413,28905,1190,3912,13207,20407,4704,"(-1.4, 0.0]"
2015/11/19,1.36,8050,25026,981,3152,11271,17504,4301,"(0.0, 1.4]"
2015/11/20,0.37,7167,21744,840,2807,10100,15150,3661,"(0.0, 1.4]"
2015/11/23,-0.56,8343,25213,990,3273,12278,17209,4069,"(-1.4, 0.0]"
2015/11/24,0.16,11159,29575,1246,3384,13788,21691,5255,"(0.0, 1.4]"
2015/11/25,0.88,10653,28102,1052,3137,12852,21123,4780,"(0.0, 1.4]"
2015/11/26,-0.34,9986,26523,901,2823,12191,19867,4451,"(-1.4, 0.0]"
2015/11/27,-5.48,13610,34007,1263,3496,14677,26751,6189,"(-10.0, -4.2]"
2015/11/30,0.26,11484,29170,1058,3222,14275,21212,5167,"(0.0, 1.4]"
2015/12/1,0.32,10711,27204,945,2833,12678,20511,4726,"(0.0, 1.4]"
